seed,N,R,d,lr,epochs,method,error
2718843009,1000,200,20,0.3,15000,msrf,0.1406249850988388
1278412471,1000,200,20,0.3,15000,msrf,0.13340306282043457
4104543539,1000,200,20,0.3,15000,msrf,0.13862808048725128
1194623263,1000,200,20,0.3,15000,msrf,0.1385195553302765
2205739499,1000,200,20,0.3,15000,msrf,0.1395191252231598
2718843009,1000,200,22,0.3,15000,msrf,0.17968513071537018
1278412471,1000,200,22,0.3,15000,msrf,0.17690981924533844
4104543539,1000,200,22,0.3,15000,msrf,0.18052375316619873
1194623263,1000,200,22,0.3,15000,msrf,0.177631214261055
2205739499,1000,200,22,0.3,15000,msrf,0.1754278838634491
2718843009,1000,200,24,0.3,15000,msrf,0.22783797979354858
1278412471,1000,200,24,0.3,15000,msrf,0.22508816421031952
4104543539,1000,200,24,0.3,15000,msrf,0.22639204561710358
1194623263,1000,200,24,0.3,15000,msrf,0.22268690168857574
2205739499,1000,200,24,0.3,15000,msrf,0.22504830360412598
2718843009,1000,200,26,0.3,15000,msrf,0.2875147759914398
1278412471,1000,200,26,0.3,15000,msrf,0.277113139629364
4104543539,1000,200,26,0.3,15000,msrf,0.2783129811286926
1194623263,1000,200,26,0.3,15000,msrf,0.27673375606536865
2205739499,1000,200,26,0.3,15000,msrf,0.2797742784023285
2718843009,1000,200,28,0.3,15000,msrf,0.3417273759841919
1278412471,1000,200,28,0.3,15000,msrf,0.33311352133750916
